"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"三浦　大輔",1,2,0,1,0,0,1,3,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"下園　辰哉",4,8,1,2,0,0,3,3,0,3,0,0,0,1,1,2,0,0,0,4,0,1,0,0,3,2,0,1,0,0,2,12,1,1,1,0,0,3,1,1,1,1,0,1,0,0,0,0,0,1,3,2,1,0
"安部　建輝",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"エレラ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"平田　真吾",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"宮﨑　敏郎",1,7,0,3,1,0,5,5,1,4,3,0,1,2,1,2,0,0,1,9,0,4,0,0,2,8,0,2,0,0,9,31,2,9,2,1,0,7,1,2,1,0,0,0,1,1,0,0,0,7,0,1,0,0
"乙坂　智",8,6,1,0,1,0,3,6,1,2,0,1,1,0,0,0,0,0,3,2,0,3,1,0,1,5,0,1,0,0,8,30,1,9,1,1,0,6,2,3,0,1,0,4,0,1,0,0,0,8,2,0,0,0
"柳田　殖生",2,2,0,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,1,4,0,3,0,0,0,2,0,1,0,0,2,12,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"砂田　毅樹",1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0
"内村　賢介",0,2,0,2,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,6,7,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"石田　健大",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"髙橋　尚成",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"赤堀　大智",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大島　洋平",5,26,4,11,0,0,7,43,4,14,5,0,3,11,3,4,0,0,7,22,3,10,3,1,4,36,4,6,2,2,14,113,11,29,11,0,5,12,0,8,0,0,8,27,3,12,1,1,6,29,2,10,2,1
"荒木　雅博",4,7,0,4,0,0,2,9,1,5,1,0,0,3,1,0,1,0,0,12,0,4,2,0,3,8,4,0,2,0,11,49,6,17,4,0,0,12,1,4,0,0,4,7,2,7,0,0,3,13,0,1,0,0
"森野　将彦",2,6,5,5,0,0,2,15,5,5,1,0,3,7,2,2,1,0,1,8,4,4,1,0,2,12,2,3,1,0,14,31,9,13,1,0,0,7,3,2,0,0,5,3,0,4,1,0,4,11,3,5,2,0
"ルナ",6,17,7,9,2,1,7,26,11,8,5,1,5,14,2,6,0,0,6,25,9,10,3,0,9,25,2,10,3,0,19,86,10,30,6,3,6,10,6,8,1,0,9,17,5,8,4,1,5,32,2,8,1,1
"平田　良介",6,13,6,5,2,2,10,29,6,11,3,1,9,12,6,1,0,1,8,29,3,8,2,3,8,18,2,8,3,1,23,79,17,38,11,2,5,19,4,1,2,2,4,17,6,6,2,0,8,25,5,6,3,1
"藤井　淳志",8,17,3,3,0,0,14,15,0,7,2,0,5,7,1,7,0,0,4,11,1,3,0,0,5,12,3,5,2,3,16,29,7,21,6,0,2,7,1,5,0,0,6,11,2,2,0,1,5,4,2,5,1,1
"エルナンデス",13,17,4,7,2,0,13,29,2,15,6,0,9,11,0,6,0,1,9,22,4,10,2,1,7,23,1,6,3,1,21,74,10,27,7,4,9,14,5,3,2,2,7,26,2,7,0,1,8,17,3,4,4,1
"松井　雅人",8,8,0,2,1,0,5,11,1,2,1,0,0,4,0,1,0,0,5,5,0,1,0,0,6,6,0,2,0,0,5,22,2,4,0,0,3,3,0,0,0,0,5,2,2,0,0,0,4,3,0,1,0,0
"山井　大介",0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,3,0,1,0,0,6,5,0,1,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
"高橋　周平",8,6,3,7,0,0,11,12,4,2,2,2,4,3,0,0,0,0,1,8,0,4,0,1,5,9,5,2,2,0,5,19,1,2,2,1,2,4,2,0,0,0,1,8,0,1,0,0,2,5,1,1,1,0
"ナニータ",2,12,0,3,0,0,5,10,2,7,1,0,2,1,0,2,1,0,4,11,1,3,4,0,1,11,1,5,2,0,3,17,2,9,3,0,1,6,0,2,0,0,2,6,1,2,0,0,2,6,0,2,0,0
"バルデス",0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,3,8,0,1,0,0,0,0,0,0,1,0,3,11,0,2,0,0,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0
"福田　永将",16,4,0,3,1,0,6,5,2,1,1,0,4,2,0,0,1,0,1,6,3,3,0,1,5,7,1,2,0,0,15,18,4,9,1,2,4,9,0,1,1,1,4,8,3,6,1,1,2,1,0,0,0,0
"亀澤　恭平",9,15,3,7,0,0,8,25,1,9,0,0,4,14,1,3,0,0,4,18,1,10,1,0,2,25,2,9,0,0,6,46,1,24,3,0,2,3,1,2,0,0,2,15,1,6,1,0,4,19,1,6,2,0
"八木　智哉",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"井領　雅貴",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"谷繁　元信",1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,3,2,2,0,0,2,6,1,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
"小笠原　道大",4,4,1,1,1,0,3,2,0,3,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,4,1,0,1,0,1,6,1,1,0,0,0,4,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"武山　真吾",3,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"大野　雄大",4,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,7,12,1,3,0,0,0,0,0,0,0,0,6,6,0,1,0,0,6,2,0,0,0,0
"吉見　一起",1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"伊藤　準規",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"堂上　直倫",1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,3,1,0,0,0,1,1,0,0,0,0,1,10,2,2,0,1,0,0,0,0,0,0,1,2,1,1,0,0,1,2,0,0,0,0
"武藤　祐太",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"福谷　浩司",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"松井　佑介",2,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8,0,3,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
"若松　駿太",1,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,10,3,1,0,0,0,1,1,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0
"野本　圭",1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"桂　依央利",3,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,4,6,0,3,1,0,1,1,0,1,0,0,9,22,3,10,1,1,1,0,0,0,0,0,5,5,0,0,0,0,4,7,0,4,0,0
"友永　翔太",0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"小熊　凌祐",0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"杉山　翔大",2,4,0,2,1,0,2,10,0,5,1,2,4,2,0,0,0,0,0,5,1,3,0,0,4,11,1,0,1,0,12,25,1,7,0,1,1,3,0,1,0,0,3,12,0,2,0,0,4,11,0,1,0,0
"和田　一浩",6,9,0,3,1,0,9,15,1,2,0,1,0,5,0,2,1,1,4,9,1,3,0,0,1,10,2,6,0,0,10,34,6,16,2,1,3,8,1,5,0,1,4,11,1,4,1,0,2,8,1,6,2,0
"工藤　隆人",1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"岩田　慎司",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"遠藤　一星",1,2,0,1,0,0,4,7,1,0,1,0,1,5,0,0,0,0,0,1,1,3,0,1,1,7,2,4,0,0,9,26,1,16,1,2,1,3,0,2,0,0,1,8,2,1,2,1,4,8,1,2,0,0
"鈴木　翔太",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"雄太",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"赤坂　和幸",0,1,0,3,0,0,1,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,8,1,3,1,0,3,2,0,1,0,0,1,4,1,1,0,0,0,0,0,1,0,0
"岡田　俊哉",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ネイラー",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"濱田　達郎",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"赤田　龍一郎",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"谷　哲也",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"鳥谷　敬",12,20,5,9,0,0,9,24,7,9,1,2,9,11,1,5,0,0,16,39,14,11,3,0,3,30,14,20,3,3,13,95,19,35,7,0,3,16,2,6,3,0,4,29,6,7,1,1,1,17,1,5,4,0
"上本　博紀",8,9,3,8,4,2,2,22,2,8,2,1,6,10,1,2,2,0,4,28,9,6,1,0,11,26,4,7,2,0,18,63,16,24,3,0,3,8,2,1,0,0,7,15,4,6,1,0,6,13,2,2,1,0
"西岡　剛",3,3,1,3,2,0,2,9,5,3,1,0,0,3,1,3,0,0,2,18,2,4,0,0,0,6,0,3,0,0,10,35,8,10,2,2,1,11,2,0,0,0,1,2,1,3,1,0,0,8,0,4,1,0
"ゴメス",19,10,4,5,2,0,16,21,5,8,5,3,10,9,1,3,2,3,13,36,8,12,5,4,11,32,7,8,4,0,31,71,26,31,4,1,11,14,3,3,1,0,5,15,8,10,2,3,4,16,3,2,1,3
"マートン",4,16,4,6,1,0,12,26,6,11,1,1,4,13,1,3,1,0,9,47,2,14,2,1,8,36,3,14,3,0,20,95,8,33,6,3,7,11,1,2,6,1,5,24,2,9,2,0,3,16,1,5,2,0
"福留　孝介",13,15,5,6,1,1,9,21,7,9,3,5,2,11,2,3,0,1,3,43,4,7,2,1,10,32,9,12,2,2,18,71,16,31,9,3,7,11,4,3,2,0,4,21,3,9,3,3,3,15,5,2,1,3
"梅野　隆太郎",3,5,0,0,1,0,4,4,1,0,0,1,2,4,0,0,0,0,3,9,1,3,0,0,3,4,0,2,1,1,13,24,2,8,6,1,1,5,1,1,1,1,2,5,1,1,0,0,0,5,0,1,0,0
"大和",6,11,0,1,1,0,1,5,1,3,1,0,1,1,2,2,1,0,6,25,1,7,0,0,3,16,2,6,1,0,8,46,1,15,0,0,2,11,0,1,0,0,2,7,2,3,1,0,1,9,1,2,0,0
"メッセンジャー",1,2,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,3,0,1,0,0,3,9,0,0,0,0,0,0,0,1,0,0,3,5,0,1,0,0,0,1,0,0,0,0
"柴田　講平",3,1,0,3,0,0,2,5,2,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
"新井　良太",6,7,0,3,0,0,2,4,2,0,0,0,2,4,0,1,0,0,9,18,1,1,1,1,1,8,2,2,0,0,8,16,2,3,3,1,3,5,0,2,0,1,4,7,2,0,1,0,5,0,0,0,0,0
"俊介",3,3,1,2,1,0,3,0,0,2,0,0,3,0,2,1,1,0,1,10,2,8,0,0,2,5,0,3,0,0,2,12,1,2,0,0,1,7,0,2,0,0,1,4,0,0,1,0,0,4,0,0,0,0
"岩田　稔",3,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,1,8,0,0,0,0,8,10,0,3,1,0,2,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
"関本　賢太郎",1,3,2,1,0,0,0,1,0,2,0,0,2,1,0,0,0,0,1,2,0,1,0,0,1,2,1,1,0,0,1,6,3,3,0,0,0,3,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
"藤浪　晋太郎",0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,4,8,0,1,0,0,2,1,0,0,0,0,8,6,1,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,6,1,1,0,1,0
"能見　篤史",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,7,2,0,2,0,0,6,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0
"岩本　輝",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"岩崎　優",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,4,4,0,3,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0
"江越　大賀",1,3,2,0,1,0,8,3,1,2,1,0,6,3,0,0,1,0,6,13,0,4,1,0,1,7,0,2,0,1,16,18,2,5,3,3,4,1,0,3,0,0,9,5,0,0,0,0,2,3,0,0,0,0
"今成　亮太",10,6,4,4,1,0,6,14,3,7,0,0,8,8,2,2,0,0,6,9,2,5,1,0,10,14,5,14,0,0,19,34,3,18,2,1,0,2,0,3,0,0,3,10,2,8,1,0,3,5,1,2,1,0
"狩野　恵輔",2,6,0,2,1,1,0,5,0,2,0,1,1,9,0,2,1,0,2,8,1,0,0,0,1,4,0,0,0,0,3,8,2,4,1,0,1,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"藤井　彰人",3,6,0,1,0,0,6,8,3,2,0,0,2,2,0,1,0,0,3,14,2,5,0,0,2,15,1,4,0,0,2,16,5,6,0,0,2,3,0,0,1,0,0,11,2,2,1,0,0,6,1,0,0,0
"伊藤　隼太",3,5,2,1,1,0,4,5,0,1,2,0,3,1,0,1,0,0,2,4,0,3,0,1,1,13,3,4,0,0,9,24,4,9,2,1,0,2,0,1,1,0,2,6,0,3,0,0,3,4,2,2,0,0
"坂　克彦",1,1,1,0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,1,3,0,0,0,0,2,4,1,1,0,0,3,6,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
"小宮山　慎二",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"岡﨑　太一",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"鶴岡　一成",3,2,0,1,2,0,3,3,0,0,1,0,4,2,0,2,0,0,8,9,2,1,1,0,5,9,1,5,0,0,14,21,5,7,1,1,0,6,0,2,0,0,2,3,1,0,1,0,2,2,2,3,1,0
"中谷　将大",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"サンティアゴ",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"荒木　郁也",1,0,0,1,0,0,0,1,0,1,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,0,3,5,0,2,0,0,0,0,1,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0
"横山　雄哉",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"松田　遼馬",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"岩貞　祐太",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"桑原　謙太朗",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"北條　史也",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"森越　祐人",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"山本　翔也",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"秋山　拓巳",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"田上　健一",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"鶴　直人",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ペレス",0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"鈴木　誠也",7,15,0,3,1,0,5,6,1,2,1,1,1,1,0,1,0,0,3,12,1,6,0,0,2,4,1,2,0,0,11,39,9,11,3,1,4,10,0,6,1,0,1,9,1,7,0,1,1,6,0,1,1,0
"菊池　涼介",8,30,4,8,1,1,15,23,5,10,2,1,5,16,2,4,1,0,16,32,2,7,0,0,6,38,0,17,3,0,20,91,5,32,12,3,13,15,4,4,1,0,1,33,1,13,2,2,2,14,3,5,0,0
"丸　佳浩",15,23,8,9,2,1,11,20,12,7,9,3,6,13,7,2,0,0,13,22,10,6,2,0,15,30,7,9,2,4,43,81,27,24,7,2,11,15,1,5,3,1,18,18,7,11,2,2,5,8,5,3,1,1
"グスマン",1,5,0,1,0,0,6,7,0,0,1,0,3,1,1,1,1,0,1,7,6,1,1,0,1,2,0,3,0,0,6,21,6,4,2,2,3,0,0,0,1,0,3,3,0,0,0,0,1,2,1,1,2,0
"松山　竜平",7,11,3,13,1,2,6,12,1,8,1,2,3,7,0,0,2,0,1,16,4,0,0,1,1,17,7,3,5,0,5,31,2,4,1,0,2,2,2,1,0,0,3,7,2,3,0,1,1,7,0,4,1,1
"梵　英心",5,10,5,2,2,0,5,18,1,6,2,2,2,7,2,0,0,0,8,17,8,4,1,0,2,14,4,3,1,1,14,57,7,19,4,2,3,8,0,2,0,0,4,12,1,4,4,0,3,11,2,0,0,0
"會澤　翼",13,13,5,4,1,0,5,12,6,4,1,1,6,10,0,0,0,0,4,16,3,8,1,1,2,9,3,3,1,0,11,41,2,14,2,2,0,7,1,2,2,0,4,15,4,5,0,0,2,6,0,1,0,0
"田中　広輔",14,26,3,9,3,1,10,30,2,11,4,1,7,9,0,5,2,0,10,31,9,12,2,2,9,29,5,10,5,0,31,90,6,25,11,3,4,17,0,6,2,0,8,23,3,11,5,1,2,13,1,1,3,0
"前田　健太",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,5,0,1,0,1,9,10,0,3,1,0,0,2,0,2,1,0,4,3,1,1,0,0,0,2,0,1,0,0
"新井　貴浩",9,16,9,5,3,0,7,21,7,10,3,0,5,8,5,5,0,0,6,24,1,10,0,0,6,21,2,10,3,0,21,71,7,26,7,4,3,23,4,2,0,1,12,23,7,7,2,1,1,11,2,3,1,0
"天谷　宗一郎",3,5,1,1,0,0,0,3,1,2,0,0,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"岩本　貴裕",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"野間　峻祥",8,16,2,1,3,0,4,6,1,2,1,0,4,5,1,1,1,0,3,12,1,4,1,0,2,12,1,3,1,0,5,28,2,7,2,0,2,1,0,2,0,0,1,3,0,0,0,0,2,2,0,2,1,0
"小窪　哲也",2,3,2,1,0,0,1,2,0,3,0,0,2,2,0,0,0,0,4,3,2,1,1,0,1,3,1,0,0,0,2,5,5,7,1,0,1,5,2,2,0,0,2,2,1,1,0,0,1,1,0,0,0,0
"美間　優槻",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
